id,domain,capability,concrete_workflow,actors,acceptance_example,source_baseline_ids,byteception_evidence_ids,disposition,dependencies,requirement_status,source_interpretation,planning_constraints
ERP-039,Specialist trade,Kitty instalments and secured pledges,"Maintain kitty/committee instalments separately from pledged articles, valuations, dues and redemption history.",Authorized specialist operator; accountant,Separate reviewed examples specify instalment and pledge accounting; legal/licensing/interest rules remain prerequisites rather than assumed permissions.,MARG-064,,retained,Treat chit-fund and mortgage workflows as separate records; licensing/legal/interest rules need specialist definition.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-040,Inventory,Returnable crates and containers,"Record crate/caret issue, return, damage/loss, deposits and party balances after confirming legacy terminology.",Storekeeper; accountant,"A party container balance reconciles issued and returned quantities, with deposits and damaged stock separately reviewed.",MARG-065,,retained,Confirm source Caret means returnable containers; damaged/lost containers and deposit tax rules need examples.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-041,Services,OPD service desk,"Register patient-linked visits, consultation/service charges and relevant pharmacy links once OPD/Reki source behaviour is demonstrated.",Authorized reception; accountant,A reviewed example identifies clinical boundaries and permissions; a service charge does not expose unrelated patient data.,MARG-066,,retained,"Source OPD/Reki semantics require demonstration; privacy, clinical scope and permissions remain unresolved.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-042,Apparel,"Size, colour and seasonal stock","Maintain style/size/colour/season variants, purchase and sell specific variants and inspect their balances and replenishment needs.",Apparel buyer; counter staff,A colour/size return restores the correct variant rather than a pooled product balance.,ADD-020,,retained,"Parent/variant identity, pricing and historical labels require explicit examples.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-043,Jewellery,"Articles, valuation, repairs and exchange","Track article/hallmark/insurance references, purity/weight/making charges, karigar custody, repairs and old-gold exchanges.",Jewellery operator; accountant,"A repair or exchange retains article identity, weights and reviewed valuation; insurance/hallmark access and rules remain explicit dependencies.",ADD-021;ADD-022;ADD-023;ADD-060,,retained,"Rate basis, wastage, hallmark records and tax rules require jewellery-specific review. | Loss/wastage, article custody and customer approvals require examples. | Ownership evidence, valuation and tax treatment require specialist validation. | Insurance service access and applicable hallmark requirements require external validation.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-044,Hospitality,"Tables, kitchen and order fulfilment","Manage tables/order modes, pending KOT/challans, kitchen display, recipe consumption, delivery-marketplace intake and tips/waiter reporting.",Server; kitchen; cashier,A changed or cancelled KOT is visible to kitchen and cashier; inventory consumption follows confirmed recipe and cancellation rules.,MARG-043;ADD-024;ADD-025;ADD-026;ADD-027;ADD-028,,retained,"Keep kitchen tickets separate from stock delivery challans; partial completion and stale work rules. | Occupancy, concurrent staff edits and tax/service-charge rules need examples. | Ticket amendments, multiple stations and printer/display compatibility need validation. | Recipe units, yield and inventory posting trigger need actual restaurant scenarios. | Partner access, licensing and current API coverage are not turnkey. | Tip ownership, split rules and payroll/accounting links need policy definition.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-045,Services,Appointments and staff schedules,"Schedule appointments against staff availability, record changes/no-shows and link completed services to billing.",Reception; service staff,A rescheduled booking preserves history and prevents conflicting confirmed assignments under the agreed booking policy.,ADD-029,,retained,"Overlap rules, no-shows and message consent need examples.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-046,Manufacturing,"Production, BOM and quality release","Plan materials and production, apply formulation/BOM versions, trace batch consumption/cost and hold or release output with quality evidence.",Production planner; storekeeper; quality reviewer,A held batch cannot be selected as released stock; finished quantity and cost trace to the reviewed BOM and actual consumption.,ADD-030;ADD-031;ADD-032,,retained,"BOM versions, capacity assumptions and production states need manufacturing examples. | Process-specific costing, scrap, rework and units require validation. | Applicable quality regulations and signatures need specialist specification; no certification claim.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-047,People,"Employees, attendance and payroll","Maintain employee/attendance/leave/salary inputs, calculate and review payroll and produce permissioned payroll reports.",HR; payroll accountant,A payroll run identifies input version and review; reimbursement links never expose salary details to ordinary expense reviewers.,ADD-043,BCP-020,retained,Separate adjacent-product inventory; statutory calculations and confidential access require validated rules.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
ERP-048,Retail,Loyalty and customer rewards,Accrue and redeem approved customer rewards with sale/return links and a transparent balance.,Counter staff; retail manager,A returned sale adjusts rewards under the applicable policy and cannot be redeemed twice.,ADD-003,,retained,"Consent, expiry, rounding and scheme stacking need policy examples.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-01,GST,Registration and applicability,"Effective-dated registration/regime, filing frequency, turnover history, authorized signatory, declared locations and obligations. Explain why each return or document requirement applies.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,An applicability change records effective dates and source basis; a workspace retains previous periods under their original registration context.,GST-01;ADD-046;ADD-062,BYTE-CAP-003;BCP-004,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-02,GST,Tax masters and policies,"HSN/SAC/UQC, taxability, cess and valuation rules, place-of-supply decisions, bill-to/ship-to, exemptions and rate history. Record the basis and reviewer for exceptional classifications.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"An exceptional place-of-supply or classification decision retains facts, authority and reviewer; later policy changes preserve invoice history.",GST-02;ADD-047,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-03,GST,Invoice assistant,"Line-level explanation, GSTIN checks with verification date, arithmetic/rounding review, duplicates, party status and tax-inclusive pricing. Preview corrections and preserve original evidence.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,An invoice explains each tax line and highlights an invalid/unknown check result without claiming a live verification when only imported evidence exists.,GST-03;ADD-046,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-04,GST,E-invoice workbench,"Applicability, validation, registration, original acknowledgement/QR evidence, errors, cancellation eligibility and uncertain-response recovery. Link all attempts to one document.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,An uncertain response remains unresolved until evidence establishes acceptance or failure; retry cannot create a second registration for the same document.,GST-04;ADD-048,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-05,GST,Transport compliance,"E-way applicability, transport/vehicle details, generation, updates, validity/extension checks, consolidation and dispatch readiness. Respect active rules rather than withdrawn announcements.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"Dispatch readiness distinguishes document validity, movement requirements and vehicle details; an extension or update records applicable eligibility.",GST-05;ADD-049,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-06,GST,Purchase evidence inbox,"PDF/photo/spreadsheet/manual capture, field provenance, party/item mapping, PO/receipt/service evidence, duplicate controls and quantity/rate/tax variances.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,Extracted fields remain linked to source evidence; a duplicate expense/purchase cannot be posted a second time merely through another intake channel.,GST-06,BYTE-CAP-012;BCP-018;BCP-021,deepened,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-inward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-07,GST,Reconciliation,"Books versus 2B/IMS, sales versus IRP/GSTR-1, amendments, prior periods, credit notes and imported documents. Explain proposed matches and isolate unexplained differences.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,A changed statement or invoice produces an explainable new comparison and preserves the previous run and affected approvals.,GST-07;ADD-051,BCP-013,deepened,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-inward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-08,GST,ITC review,Eligibility at line/amount level; evidence requirements; blocked/common/nonbusiness credit; receipt/payment conditions; claim history; reversals/reclaims; deadline exposure.,Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"A matched purchase can remain ineligible; the same credit amount has traceable claim, reversal and reclaim history without double claiming.",GST-08,BCP-018,deepened,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-inward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-09,GST,IMS decisions,"Allowed actions per record/period, consequence preview, no-action exposure, pending deadlines, remarks, actual reversal amounts and acknowledgement/recomputation checks.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,An action preview shows permitted choices and consequences for this record/period; task completion alone cannot assert portal acknowledgement.,GST-09;ADD-056,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-inward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-10,GST,Supplier/customer resolution,"Dispute bundles, follow-up drafts, evidence exchange, owner assignment and reminders. Commercial payment decisions remain separate from a GST mismatch.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,A proposed supplier/customer follow-up includes the disputed documents and considers allocated or suspected payments; GST mismatch does not automatically block commercial payment.,GST-10,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-inward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-11,GST,"Returns, claims and notes",Original-invoice-linked returns; expiry/breakage/destruction; replacements; discounts; commercial notes versus GST adjustments; tax and stock effects reviewed separately.,Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"An expiry return after a rate change links original invoice, batch, commercial note and reviewed tax treatment separately.",GST-11,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-12,GST,RCM and adjustments,"Classified obligations, self-documentation where applicable, tax liability/payment evidence and separately reviewed ITC. Explain applicability rather than treating every unregistered purchase as RCM.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,An unregistered purchase is not automatically treated as RCM; applicable liability and any separately reviewed credit carry evidence.,GST-12,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-special-cases.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-13,GST,Filing workspace,"Period checklist, GSTR-1/IFF/1A and 3B preparation, other applicable forms, variance bridge, approvals, export/upload/signing status, official acknowledgements and locked filed snapshots.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"Changing an approved return pack requires affected re-review; generated, uploaded, signed and officially filed states remain distinct.",GST-13;MARG-045;ADD-050;ADD-052;ADD-053;ADD-056,BCP-013,deepened,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-14,GST,Liability and payment view,"Estimated versus approved liabilities, credit/cash ledger evidence, allocation, payment references, interest/late-fee review and period-specific obligations. Bank payment is not automatically proof of return filing.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"Estimated liability, approved liability, payment and official ledger evidence are distinct; a bank receipt never automatically marks a return filed.",GST-14,BYTE-CAP-009;BCP-019,deepened,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-special-cases.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-15,GST,Multi-GSTIN operations,"Create/select legal companies, GST registrations and branches; maintain independent company books and scoped management views. Same-registration movement, distinct-person supply and ISD workflows remain separate. Pair sending/receiving records and reconcile interbranch discrepancies without concealing them in group totals.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"A same-GSTIN transfer, distinct-person supply and ISD allocation produce distinct reviewed records; independent company books and GSTIN records remain traceable in group totals.",GST-15;ADD-054;ADD-061;ADD-062,BYTE-CAP-003;BCP-004,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-special-cases.md. Company, branch, warehouse and GSTIN are distinct; company books and statutory records remain independent.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-16,GST,"Imports, exports and SEZ","BoE/customs evidence, import credit matching, export/SEZ applicability, LUT/bond evidence where relevant and refund dossier/status. Domestic matching rules cannot be blindly reused.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,Import/export/SEZ treatment uses relevant customs/export evidence; domestic purchase matching cannot silently decide imported-credit eligibility.,GST-16,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-special-cases.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-17,GST,Special taxpayer regimes,"Composition, QRMP and relevant TDS/TCS/ISD cases with registration-specific forms, rights and calculations. Keep GST deductions distinct from income-tax deductions.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,An obligation is selected for its registration and effective regime; GST TDS/TCS never collapses into income-tax deduction handling.,GST-17,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-special-cases.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-18,GST,Annual compliance and migration,"GSTR-9/9C where applicable, financial-year versus return-period reconciliation, historic claims/reversals, migration control totals and unresolved opening cases.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"Migration control totals reconcile stock, accounts and historical credit cases; annual reconciliations expose period differences rather than erasing them.",GST-18;ADD-054,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-special-cases.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-19,GST,Notices and evidence,"Notice intake, response dates, issue-to-transaction links, evidence bundles, response versions and authorized submission/acknowledgement. No fabricated legal response or automatic admission.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,A notice case links issues to evidence and versioned response drafts; only authorized submissions can receive official acknowledgement status.,GST-19,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-special-cases.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-20,GST,Compliance change workbench,"Source/effective-date/supersession tracking, rate/MRP transition previews, impact assessment, reviewer sign-off and period-specific audit evidence.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"A rate/policy revision previews open documents and representative historical cases, records accountant sign-off and leaves historical calculations intact.",GST-20;ADD-055,BCP-012,deepened,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-21,GST,Common credit and capital goods,"Attribute exclusive/common use, document allocation bases, prepare periodic reversal and applicable annual adjustment, track capital-goods history and preserve reviewer-approved calculations.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"Common-credit allocations and capital-goods adjustments show basis, periods, asset use and approved workings.",GST-21,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-inward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-22,GST,Job work,"Principal/job-worker roles, challans, goods sent and partially returned, direct dispatch, scrap/waste, applicable statutory clocks and reporting, and overdue-case assessment.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"Partial job-work returns preserve principal-owned quantities, challans, remaining deadlines and separate scrap/direct-dispatch treatment.",GST-22,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-special-cases.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-23,GST,Advances and adjustments,"Receipt/payment evidence, receipt/refund vouchers where applicable, goods/services tax assessment, allocation to invoices, cancellation/refund, unadjusted balances and period reporting.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"Advance allocation connects receipt/payment, invoice and refund without double recognition and retains reviewed goods/services tax treatment.",GST-23,,retained,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/gst-outward-workflows.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
TAX-24,GST,CA engagement and review,"Explicit client/company/GSTIN access, assigned preparations, versioned review packs, reviewer reassignment, approval independence policy, client handover and access revocation.",Business staff prepare; accountant/CA reviews; authorized signatory acts where required,"A CA sees only authorized client/GSTIN/period work, receives a versioned review pack and loses access on revocation while handover evidence remains available.",GST-24;ADD-063,BYTE-CAP-003;BYTE-CAP-009;BCP-008,deepened,"Verify current official applicability and source-specific rules when implementing; portal activity mode, technology, architecture and delivery priority are deferred. Detailed workflow: ../marg/product-and-gst-workflow-map.md.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
WORK-01,Shared webapp workflows,Identity and account lifecycle,"Invite a user into explicit business scopes; enroll permitted authentication, recover access, inspect/revoke sessions and offboard the account.",Administrator; user,Revoking a user or session prevents further protected actions; recovery cannot expand company or reviewer rights.,MARG-039;MARG-093;ADD-061;ADD-063;GST-24,BYTE-CAP-001;BYTE-CAP-002,new_explicit_requirement,Identity provider and any external SSO/link delivery remain unselected; local development does not select an identity vendor. Shared domain records: ERP-023.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
WORK-02,Shared webapp workflows,"Task templates, recurrence and obligations","Create period-specific work from approved task/checklist templates; assign preparer/reviewer, dependencies and internal targets; attach a statutory due date and its source basis only where applicable; manage reassignment, recurrence and reopening.",Coordinator; staff; accountant/CA,One active obligation creates one period task; overlapping engagements are flagged; closing requires evidence and no duplicate tasks arise on rerun.,MARG-088;GST-01;GST-08;GST-10;GST-13;GST-18;GST-19;GST-20;GST-24,BYTE-CAP-014;BCP-002;BCP-003;BCP-005;BCP-006,deepened,"Statutory deadlines require verified current sources and apply only to relevant obligations; internal review/evidence tasks may have only an internal target. Reminders and task completion remain separate from legal deadlines and filing status. Shared domain records: ERP-024, ERP-028.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
WORK-03,Shared webapp workflows,Notification and action inbox,"Group notifications by document/case and scope; show owner, amount, due date, blocker and permitted action; acknowledge, snooze or escalate under an approved policy.",All assigned staff; supervisors,Ten changes on one case form a coherent thread; acknowledgement does not approve the transaction or complete the obligation.,MARG-068;MARG-078;MARG-088;GST-10;GST-13;GST-19;GST-24,BYTE-CAP-004;BCP-010,deepened,Browser inbox is in scope; external delivery channels and integrations are a later decision. Shared domain records: ERP-028.,proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
WORK-04,Shared webapp workflows,Concurrent work and stale-session recovery,"Show preparation/review activity, surface new changes, compare conflicting edits and recheck document version before posting or approval.",Business staff; accountant/CA,A stale browser cannot silently overwrite a newer review or post an obsolete approval; user sees changed fields and permitted reload/merge choices.,MARG-042;MARG-077;ADD-063;GST-10;GST-13;GST-24,BYTE-CAP-005;BCP-023,new_explicit_requirement,"Collaboration behaviour is a requirement, not a selected realtime technology or a guarantee of conflict-free distributed operation. Shared domain records: ERP-024.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
WORK-05,Shared webapp workflows,Evidence library and portable dossiers,"Store each source file with business scope, period, provenance and version; link it to records/cases; detect duplicates and missing evidence; search and export authorized dossiers.",Staff; reviewer; records administrator,Replacing a file creates a version; a historical approval still opens the precise evidence version reviewed; an export reveals no unauthorized company files.,MARG-069;MARG-076;MARG-083;ADD-013;ADD-015;GST-06;GST-16;GST-19;GST-24;GST-13,BYTE-CAP-008;BCP-014,deepened,"Storage and retention policies need business/legal validation; exported PDFs do not imply independent certification. Shared domain records: ERP-025, ERP-031, ERP-032.",proposed_not_implemented,Vendor observations and original ERP proposals are separate; source IDs resolve through coverage-map.csv and byteception-comparison.csv.,"Webapp; local development; multiple companies/GSTINs/branches; staff prepare and accountant/CA review. Portal mode, stack, architecture and priorities deferred."
